FECHA,HORA,MINUTOS,N  ABEJAS/ VISITA,N MOSCAS / VISITA,TEMPERATURA,ESPECIE,,,,
6/11/2020,15,21,1,0,39,ABEJA,,,,
6/11/2020,15,22,1,0,38,ABEJA,,,,
6/11/2020,15,22,1,0,38,ABEJA,,,,
6/11/2020,15,23,2,0,38,ABEJA,,,,
6/11/2020,15,23,1,0,38,ABEJA,,,,
6/11/2020,15,28,1,0,38,ABEJA,,,,
6/11/2020,15,29,1,0,38,ABEJA,,,,
6/11/2020,15,29,1,0,38,ABEJA,,,,
6/11/2020,15,30,1,0,38,ABEJA,,,,
6/11/2020,15,30,1,0,38,ABEJA,,,,
6/11/2020,15,32,1,0,38,ABEJA,,,,
6/11/2020,15,33,1,0,38,ABEJA,,,,
6/11/2020,15,34,1,0,38,ABEJA,,,,
6/11/2020,15,35,1,0,38,ABEJA,,,,
6/11/2020,15,37,1,0,38,ABEJA,,,,
6/11/2020,15,39,1,0,38,ABEJA,,,,
6/11/2020,15,41,2,0,38,ABEJA,,,,
6/11/2020,15,42,1,0,38,ABEJA,,,,
6/11/2020,15,42,1,0,38,ABEJA,,,,
6/11/2020,15,43,1,0,38,ABEJA,,,,
6/11/2020,15,43,1,0,38,ABEJA,,,,
6/11/2020,15,44,1,0,38,ABEJA,,,,
6/11/2020,15,47,1,0,38,ABEJA,,,,
6/11/2020,15,47,1,0,38,ABEJA,,,,
6/11/2020,15,48,1,0,38,ABEJA,,,,
6/11/2020,15,49,2,0,38,ABEJA,,,,
6/11/2020,15,50,1,0,38,ABEJA,,,,
6/11/2020,15,50,1,0,38,ABEJA,,,,
6/11/2020,15,51,1,0,38,ABEJA,,,,
6/11/2020,15,51,2,0,38,ABEJA,,,,
6/11/2020,15,52,2,0,38,ABEJA,,,,
6/11/2020,15,52,1,0,38,ABEJA,,,,
6/11/2020,15,53,2,0,38,ABEJA,,,,
6/11/2020,15,53,2,0,38,ABEJA,,,,
6/11/2020,15,54,1,0,38,ABEJA,,,,
6/11/2020,15,54,1,0,38,ABEJA,,,,
6/11/2020,15,55,1,0,38,ABEJA,,,,
6/11/2020,15,55,1,0,38,ABEJA,,,,
6/11/2020,15,56,1,0,38,ABEJA,,,,
6/11/2020,15,57,1,0,38,ABEJA,,,,
6/11/2020,15,57,1,0,38,ABEJA,,,,
6/11/2020,15,58,1,0,38,ABEJA,,,,
6/11/2020,15,59,1,0,38,ABEJA,,,,
6/11/2020,15,59,1,0,38,ABEJA,,,,
6/11/2020,16,2,1,0,38,ABEJA,,,,
6/11/2020,16,8,1,0,38,ABEJA,,,,
6/11/2020,16,9,1,0,38,ABEJA,,,,
6/11/2020,16,9,1,0,38,ABEJA,,,,
6/11/2020,16,10,1,0,38,ABEJA,,,,
6/11/2020,16,14,1,0,38,ABEJA,,,,
6/11/2020,16,28,1,0,39,ABEJA,,,,
6/11/2020,16,29,1,0,39,ABEJA,,,,
6/11/2020,16,32,1,0,39,ABEJA,,,,
6/11/2020,16,33,1,0,39,ABEJA,,,,
6/11/2020,16,34,1,0,39,ABEJA,,,,
6/11/2020,16,34,2,0,39,ABEJA,,,,
6/11/2020,16,35,1,0,39,ABEJA,,,,
6/11/2020,16,36,1,0,40,ABEJA,,,,
6/11/2020,16,37,1,0,40,ABEJA,,,,
6/11/2020,16,39,1,0,40,ABEJA,,,,
6/11/2020,16,39,1,0,40,ABEJA,,,,
6/11/2020,16,40,1,0,40,ABEJA,,,,
