FECHA,HORA,MINUTOS,N  ABEJAS/ VISITA,N POLINIZADORES / VISITA,TEMPERATURA,ESPECIE,,,
17/11/2020,17,36,0,1,25,MOSCA,,,
17/11/2020,17,36,0,1,25,MOSCA,,,
17/11/2020,17,38,0,1,25,MOSCA,,,
17/11/2020,17,38,0,1,25,MOSCA,,,
17/11/2020,17,42,0,1,25,MOSCA,,Row Labels,Count of ESPECIE
17/11/2020,17,43,0,1,24,MOSCA,,ABEJA,15
17/11/2020,17,57,0,1,24,MOSCA,,AVISPA,26
17/11/2020,18,37,0,1,23,MOSCA,,COCCINELIDO (V DE SAN ANTONIO),3
17/11/2020,18,38,0,1,23,MOSCA,,MOSCA,243
17/11/2020,18,40,0,1,23,MOSCA,,MOSQUITO,3
17/11/2020,18,41,0,1,23,MOSCA,,Grand Total,290
17/11/2020,18,42,0,1,23,MOSCA,,,
17/11/2020,18,42,0,1,23,MOSCA,,,
17/11/2020,18,43,0,1,23,MOSCA,,,
17/11/2020,18,43,0,1,23,MOSCA,,,
17/11/2020,18,44,0,1,23,MOSCA,,,
17/11/2020,18,44,0,1,23,MOSCA,,,
17/11/2020,18,45,0,1,24,MOSCA,,,
17/11/2020,18,45,0,1,24,MOSCA,,,
17/11/2020,18,46,0,1,24,MOSCA,,,
17/11/2020,18,47,0,1,24,MOSCA,,,
17/11/2020,18,47,0,1,24,MOSCA,,,
17/11/2020,18,48,0,1,24,MOSCA,,,
17/11/2020,18,49,0,1,24,MOSCA,,,
17/11/2020,18,49,0,1,24,MOSCA,,,
17/11/2020,18,52,0,1,24,MOSCA,,,
17/11/2020,18,53,0,1,24,MOSCA,,,
17/11/2020,18,57,0,1,24,MOSCA,,,
17/11/2020,18,59,0,1,24,MOSCA,,,
17/11/2020,19,2,0,1,24,MOSCA,,,
17/11/2020,19,17,0,1,24,MOSCA,,,
17/11/2020,19,17,0,1,24,MOSCA,,,
17/11/2020,19,54,0,1,23,MOSCA,,,
17/11/2020,19,46,0,1,23,MOSCA,,,
17/11/2020,19,48,0,1,23,MOSCA,,,
17/11/2020,19,48,0,1,23,MOSCA,,,
18/11/2020,9,50,0,1,24,MOSCA,,,
18/11/2020,9,50,0,1,24,MOSCA,,,
18/11/2020,9,50,0,1,25,MOSCA,,,
18/11/2020,10,29,0,1,27,MOSCA,,,
18/11/2020,10,26,0,1,27,MOSCA,,,
18/11/2020,10,27,0,1,27,MOSCA,,,
18/11/2020,10,27,0,1,27,MOSCA,,,
18/11/2020,10,29,0,1,27,MOSCA,,,
18/11/2020,15,45,0,1,35,MOSCA,,,
18/11/2020,15,46,0,1,35,MOSCA,,,
18/11/2020,15,46,0,1,35,MOSCA,SALE DE FOCO LA UMBELLA,,
18/11/2020,16,21,0,1,37,MOSCA,,,
19/11/2020,7,36,0,1,13,MOSCA,,,
19/11/2020,9,57,0,1,26,MOSCA,,,
19/11/2020,9,58,0,1,26,MOSCA,,,
19/11/2020,11,29,0,1,30,MOSCA,,,
19/11/2020,15,30,0,1,34,MOSCA,,,
19/11/2020,15,30,0,1,34,MOSCA,,,
19/11/2020,15,31,0,1,34,MOSCA,,,
19/11/2020,15,32,0,1,34,MOSCA,,,
19/11/2020,15,32,0,1,34,MOSCA,,,
19/11/2020,17,38,0,1,25,MOSCA,,,
19/11/2020,18,11,0,1,24,MOSCA,,,
19/11/2020,18,11,0,1,24,MOSCA,,,
19/11/2020,18,58,0,1,23,MOSCA,,,
19/11/2020,18,59,0,1,23,MOSCA,,,
19/11/2020,18,59,0,1,23,MOSCA,,,
19/11/2020,19,4,0,1,23,MOSCA,,,
20/11/2020,7,43,0,1,12,MOSCA,,,
20/11/2020,11,37,0,1,30,COCCINELIDO (V DE SAN ANTONIO),,,
20/11/2020,11,37,0,1,30,COCCINELIDO (V DE SAN ANTONIO),,,
20/11/2020,11,38,0,1,30,COCCINELIDO (V DE SAN ANTONIO),,,
20/11/2020,18,54,0,1,36,MOSCA,,,
20/11/2020,19,27,0,1,33,MOSCA,,,
20/11/2020,19,38,0,1,31,MOSCA,,,
20/11/2020,19,39,0,1,31,MOSCA,,,
21/11/2020,9,46,0,1,25,MOSCA,,,
21/11/2020,9,47,0,1,25,MOSCA,,,
21/11/2020,10,52,0,1,28,MOSCA,,,
21/11/2020,11,53,0,1,30,MOSCA,,,
21/11/2020,11,53,0,1,30,MOSCA,,,
22/11/2020,19,0,0,1,35,MOSCA,,,
22/11/2020,19,58,0,1,31,MOSCA,,,
23/11/2020,7,30,0,1,18,MOSCA,entra en foco otra mitad de umbella,,
23/11/2020,7,30,0,1,18,MOSCA,,,
23/11/2020,7,31,0,1,18,MOSCA,,,
23/11/2020,7,31,0,1,18,MOSCA,,,
23/11/2020,7,32,0,1,18,MOSCA,,,
23/11/2020,7,32,0,1,18,MOSCA,,,
23/11/2020,7,33,0,1,18,MOSCA,,,
23/11/2020,7,33,0,1,18,MOSCA,,,
23/11/2020,7,34,0,1,18,MOSCA,,,
23/11/2020,7,34,0,1,18,MOSCA,,,
23/11/2020,7,35,0,1,18,MOSCA,,,
23/11/2020,7,35,0,1,18,MOSCA,,,
