FECHA,HORA,MINUTOS,N  ABEJAS/ VISITA,N MOSCAS / VISITA,TEMPERATURA,especie
11/6/2020,03,21,1,0,39,
11/6/2020,03,22,1,0,38,
11/6/2020,03,22,1,0,38,
11/6/2020,03,23,2,0,38,
11/6/2020,03,23,1,0,38,
11/6/2020,03,28,1,0,38,
11/6/2020,03,29,1,0,38,
11/6/2020,03,29,1,0,38,
11/6/2020,03,30,1,0,38,
11/6/2020,03,30,1,0,38,
11/6/2020,03,32,1,0,38,
11/6/2020,03,33,1,0,38,
11/6/2020,03,34,1,0,38,
11/6/2020,03,35,1,0,38,
11/6/2020,03,37,1,0,38,
11/6/2020,03,39,1,0,38,
11/6/2020,03,41,2,0,38,
11/6/2020,03,42,1,0,38,
11/6/2020,03,42,1,0,38,
11/6/2020,03,43,1,0,38,
11/6/2020,03,43,1,0,38,
11/6/2020,03,44,1,0,38,
11/6/2020,03,47,1,0,38,
11/6/2020,03,47,1,0,38,
11/6/2020,03,48,1,0,38,
11/6/2020,03,49,2,0,38,
11/6/2020,03,50,1,0,38,
11/6/2020,03,50,1,0,38,
11/6/2020,03,51,1,0,38,
11/6/2020,03,51,2,0,38,
11/6/2020,03,52,2,0,38,
11/6/2020,03,52,1,0,38,
11/6/2020,03,53,2,0,38,
11/6/2020,03,53,2,0,38,
11/6/2020,03,54,1,0,38,
11/6/2020,03,54,1,0,38,
11/6/2020,03,55,1,0,38,
11/6/2020,03,55,1,0,38,
11/6/2020,03,56,1,0,38,
11/6/2020,03,57,1,0,38,
11/6/2020,03,57,1,0,38,
11/6/2020,03,58,1,0,38,
11/6/2020,03,59,1,0,38,
11/6/2020,03,59,1,0,38,
11/6/2020,04,02,1,0,38,
11/6/2020,04,08,1,0,38,
11/6/2020,04,09,1,0,38,
11/6/2020,04,09,1,0,38,
11/6/2020,04,10,1,0,38,
11/6/2020,04,14,1,0,38,
11/6/2020,04,28,1,0,39,
11/6/2020,04,29,1,0,39,
11/6/2020,04,32,1,0,39,
11/6/2020,04,33,1,0,39,
11/6/2020,04,34,1,0,39,
11/6/2020,04,34,2,0,39,
11/6/2020,04,35,1,0,39,
11/6/2020,04,36,1,0,40,
11/6/2020,04,37,1,0,40,
11/6/2020,04,39,1,0,40,
11/6/2020,04,39,1,0,40,
11/6/2020,04,40,1,0,40,
11/6/2020,04,40,1,0,40,
11/6/2020,04,41,1,0,40,
11/6/2020,04,41,1,0,40,
11/6/2020,04,42,1,0,40,
11/6/2020,04,43,1,0,40,
11/6/2020,04,45,1,0,40,
11/6/2020,04,46,1,0,40,
11/6/2020,04,47,1,0,41,
11/6/2020,04,47,1,0,41,
11/6/2020,04,48,1,0,41,
11/6/2020,04,52,1,0,41,
11/6/2020,04,53,2,0,41,
11/6/2020,04,53,1,0,41,
11/6/2020,04,54,2,0,41,
11/6/2020,04,55,2,0,41,
11/6/2020,04,55,2,0,41,
11/6/2020,04,56,1,0,41,
11/6/2020,04,56,1,0,41,
11/6/2020,04,57,1,0,41,
11/6/2020,04,57,1,0,41,
11/6/2020,04,58,1,0,42,
11/6/2020,04,58,1,0,42,
11/6/2020,04,59,1,0,42,
11/6/2020,05,02,1,0,42,
11/6/2020,05,06,1,0,42,
11/6/2020,05,06,1,0,42,
11/6/2020,05,07,1,0,42,
11/6/2020,05,08,1,0,42,
11/6/2020,05,08,1,0,42,
11/6/2020,05,12,1,0,42,
11/6/2020,05,12,1,0,42,
11/6/2020,05,13,1,0,42,
11/6/2020,05,13,1,0,42,
11/6/2020,05,13,1,0,42,
11/6/2020,05,14,3,0,42,
11/6/2020,05,15,2,0,42,
11/6/2020,05,15,2,0,42,
11/6/2020,05,16,1,0,42,
11/6/2020,05,17,1,0,42,
11/6/2020,05,17,1,0,42,
11/6/2020,05,22,1,0,42,
11/6/2020,05,23,1,0,42,
11/6/2020,05,24,1,0,42,
11/6/2020,05,24,1,0,42,
11/6/2020,05,29,1,0,42,
11/6/2020,05,30,1,0,42,
11/6/2020,05,32,1,0,43,
11/6/2020,05,34,1,0,43,
11/6/2020,05,34,1,0,43,
11/6/2020,05,35,1,0,43,
11/6/2020,05,35,1,0,43,
11/6/2020,05,38,1,0,43,
11/6/2020,05,45,1,0,43,
11/6/2020,05,46,1,0,43,
11/6/2020,05,46,2,0,43,
11/6/2020,05,47,1,0,43,
11/6/2020,05,47,1,0,43,
11/6/2020,05,48,1,0,43,
11/6/2020,05,51,1,0,43,
11/6/2020,05,52,1,0,43,
11/6/2020,05,52,1,0,43,
11/6/2020,05,53,1,0,43,
11/6/2020,05,54,1,0,43,
11/6/2020,05,54,1,0,43,
11/6/2020,05,55,1,0,43,
11/6/2020,05,55,1,0,43,
11/6/2020,05,56,1,0,43,
11/6/2020,05,56,1,0,43,
11/6/2020,05,57,2,0,43,
11/6/2020,06,00,1,0,43,
11/6/2020,06,00,2,0,43,
11/6/2020,06,01,1,0,43,
11/6/2020,06,01,1,0,43,
11/6/2020,06,02,1,0,43,
11/6/2020,06,02,1,0,43,
11/6/2020,06,03,1,0,43,
11/6/2020,06,03,1,0,43,
11/6/2020,06,04,2,0,43,
11/6/2020,06,05,1,0,43,
11/6/2020,06,05,1,0,43,
11/6/2020,06,06,1,0,43,
11/6/2020,06,07,1,0,43,
11/6/2020,06,10,1,0,43,
11/6/2020,06,11,1,0,43,
11/6/2020,06,12,1,0,42,
11/6/2020,06,13,1,0,42,
11/6/2020,06,14,1,0,42,
11/6/2020,06,15,1,0,42,
11/6/2020,06,16,2,0,42,
11/6/2020,06,16,1,0,42,
11/6/2020,06,17,1,0,42,
11/6/2020,06,18,1,0,42,
11/6/2020,06,19,2,0,42,
11/6/2020,06,20,1,0,42,
11/6/2020,06,21,1,0,42,
11/6/2020,06,21,1,0,42,
11/6/2020,06,22,1,0,42,
