FECHA,HORA,MINUTOS,N  ABEJAS/ VISITA,N POLINIZADORES / VISITA,TEMPERATURA,ESPECIE,,,
11/17/2020,17,36,0,1,25,MOSCA,,,
11/17/2020,17,36,0,1,25,MOSCA,,,
11/17/2020,17,38,0,1,25,MOSCA,,,
11/17/2020,17,38,0,1,25,MOSCA,,,
11/17/2020,17,42,0,1,25,MOSCA,,ESPECIE,Count of ESPECIE
11/17/2020,17,43,0,1,24,MOSCA,,ABEJA,15
11/17/2020,17,57,0,1,24,MOSCA,,AVISPA,26
11/17/2020,18,37,0,1,23,MOSCA,,COCCINELIDO (V DE SAN ANTONIO),3
11/17/2020,18,38,0,1,23,MOSCA,,MOSCA,243
11/17/2020,18,40,0,1,23,MOSCA,,MOSQUITO,3
11/17/2020,18,41,0,1,23,MOSCA,,Suma total,290
11/17/2020,18,42,0,1,23,MOSCA,,,
11/17/2020,18,42,0,1,23,MOSCA,,,
11/17/2020,18,43,0,1,23,MOSCA,,,
11/17/2020,18,43,0,1,23,MOSCA,,,
11/17/2020,18,44,0,1,23,MOSCA,,,
11/17/2020,18,44,0,1,23,MOSCA,,,
11/17/2020,18,45,0,1,24,MOSCA,,,
11/17/2020,18,45,0,1,24,MOSCA,,,
11/17/2020,18,46,0,1,24,MOSCA,,,
11/17/2020,18,47,0,1,24,MOSCA,,,
11/17/2020,18,47,0,1,24,MOSCA,,,
11/17/2020,18,48,0,1,24,MOSCA,,,
11/17/2020,18,49,0,1,24,MOSCA,,,
11/17/2020,18,49,0,1,24,MOSCA,,,
11/17/2020,18,52,0,1,24,MOSCA,,,
11/17/2020,18,53,0,1,24,MOSCA,,,
11/17/2020,18,57,0,1,24,MOSCA,,,
11/17/2020,18,59,0,1,24,MOSCA,,,
11/17/2020,19,2,0,1,24,MOSCA,,,
11/17/2020,19,17,0,1,24,MOSCA,,,
11/17/2020,19,17,0,1,24,MOSCA,,,
11/17/2020,19,54,0,1,23,MOSCA,,,
11/17/2020,19,46,0,1,23,MOSCA,,,
11/17/2020,19,48,0,1,23,MOSCA,,,
11/17/2020,19,48,0,1,23,MOSCA,,,
11/18/2020,9,50,0,1,24,MOSCA,,,
